GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
0500000US01081,1081,"Lee County, Alabama",148089,1128,71885,1341,5939,910,5899,906,40,71,10852,776,9884,811,968,793,15134,810,12895,1267,2239,857,9435,879,6753,1146,2682,848,8610,745,6815,920,1795,679,8361,171,7334,737,1027,673,6938,187,6768,297,170,218,4566,266,4491,232,75,123,2050,172,2050,172,0,192,76204,691,4497,686,4497,686,0,192,11683,519,11233,580,450,390,14811,527,12820,1151,1991,980,10133,731,8409,941,1724,924,9599,667,8354,937,1245,640,9659,694,7739,777,1920,934,7626,213,6949,520,677,492,5052,382,4977,408,75,133,3144,320,3144,320,0,192
0500000US01083,1083,"Limestone County, Alabama",85758,1064,42075,1666,3756,623,3589,606,167,172,7179,791,7007,794,172,171,3787,677,2501,655,1286,654,5216,692,3897,884,1319,753,5557,847,4125,1083,1432,914,6111,406,5632,540,479,360,5165,576,4446,448,719,615,3595,437,3595,437,0,192,1709,160,1709,160,0,192,43683,1315,3365,703,3365,703,0,192,6775,768,6486,798,289,233,3990,884,2135,720,1855,1025,5319,519,4084,700,1235,723,5903,663,3653,711,2250,965,6850,623,5651,481,1199,553,5323,387,4899,575,424,381,3654,317,3654,317,0,192,2504,112,2504,112,0,192
0500000US01089,1089,"Madison County, Alabama",342991,1341,166503,1480,12114,758,11674,750,440,383,27669,914,26177,862,1492,832,17476,633,13379,1019,4097,1068,22605,1191,16621,1419,5984,1235,19929,843,15942,1099,3987,992,26720,922,23061,1126,3659,1258,20593,429,18967,642,1626,625,11568,556,11344,620,224,319,7829,575,7772,548,57,105,176488,917,11643,757,11224,964,419,449,27307,871,26245,957,1062,723,16890,641,14181,1016,2709,973,23270,806,16230,1548,7040,1404,22238,645,18020,1227,4218,1193,27463,533,24950,958,2513,807,21629,342,18784,944,2845,957,14515,519,14464,534,51,87,11533,442,11533,442,0,192
0500000US01095,1095,"Marshall County, Alabama",94008,314,45465,743,3816,764,3741,756,75,91,7638,761,7418,775,220,128,4030,503,2371,459,1659,521,6002,679,2427,641,3575,875,6359,664,3830,804,2529,880,6129,270,4889,509,1240,444,5340,93,4737,330,603,311,3854,86,3854,86,0,192,2297,166,2297,166,0,192,48543,824,4231,737,4200,741,31,37,7584,504,7333,551,251,210,3915,424,2671,506,1244,438,5784,822,2380,701,3404,952,6091,478,4675,468,1416,573,6436,428,5260,575,1176,414,6180,278,4900,573,1280,606,4992,291,4844,189,148,235,3330,231,3330,231,0,192
0500000US01097,1097,"Mobile County, Alabama",406124,1118,192649,1611,17217,1028,17008,1103,209,267,33184,1227,30463,1491,2721,1248,19234,768,13321,1049,5913,1293,24998,875,18044,1388,6954,1329,22444,853,17942,1483,4502,1208,25781,620,20464,1214,5317,1224,24989,475,21162,960,3827,984,15643,322,15596,329,47,77,9159,448,9159,448,0,192,213475,1761,16589,1062,15947,1202,642,497,32811,1131,31869,1206,942,498,20524,661,16005,1151,4519,1083,28408,678,19970,1514,8438,1575,25865,559,21241,1187,4624,1161,29555,572,24589,1275,4966,1074,27059,371,22695,1096,4364,1098,18537,352,18439,335,98,112,14127,380,14013,423,114,185
0500000US01101,1101,"Montgomery County, Alabama",222160,1292,104525,1328,9086,537,8733,539,353,499,19387,745,18950,867,437,348,11359,545,8386,1158,2973,1129,15058,634,9965,1147,5093,1110,12225,570,9865,825,2360,769,13802,557,11091,1009,2711,789,11901,144,10706,481,1195,467,7158,203,7158,203,0,192,4549,164,4549,164,0,192,117635,877,8978,831,8919,821,59,101,17295,826,16754,826,541,349,12412,462,9615,735,2797,773,17237,449,13149,1055,4088,1184,14465,371,12260,600,2205,573,15764,556,14394,696,1370,596,14508,130,13360,409,1148,385,9159,655,8989,504,170,271,7817,205,7817,205,0,192
0500000US01103,1103,"Morgan County, Alabama",117707,1271,57346,1738,4520,777,4520,777,0,192,9702,1021,9112,1241,590,435,5485,846,3194,947,2291,1003,6775,881,4224,970,2551,882,7253,835,6140,953,1113,594,8013,706,6358,664,1655,738,7573,293,7355,332,218,201,4853,110,4853,110,0,192,3172,178,3172,178,0,192,60361,1159,5262,895,5123,920,139,246,8317,487,7502,582,815,472,5353,834,3738,786,1615,642,6642,851,4884,701,1758,869,8499,866,5945,1081,2554,939,8173,608,7329,756,844,502,8128,336,7338,662,790,460,5748,325,5630,326,118,165,4239,460,4239,460,0,192
0500000US01115,1115,"St. Clair County, Alabama",84417,600,41392,986,3700,1074,3581,955,119,256,6733,1010,5792,634,941,704,3991,865,3935,861,56,69,5017,434,3837,542,1180,610,5268,553,4597,518,671,519,5730,357,5219,396,511,434,5466,486,5023,612,443,331,3608,154,3608,154,0,192,1879,207,1879,207,0,192,43025,878,3142,688,3105,688,37,64,6086,633,6022,647,64,112,3595,624,2837,368,758,597,5354,371,4335,679,1019,577,5822,448,4784,758,1038,669,6151,518,5985,561,166,184,6356,475,6181,520,175,210,3973,232,3973,232,0,192,2546,169,2546,169,0,192
0500000US01117,1117,"Shelby County, Alabama",202337,1374,98515,1486,7351,756,7037,801,314,291,19191,1021,18406,1066,785,603,8649,675,6672,611,1977,918,11783,830,9397,740,2386,630,15243,800,12670,1147,2573,1045,13528,531,11678,713,1850,626,11424,403,10918,497,506,360,7695,415,7695,415,0,192,3651,192,3651,192,0,192,103822,917,6981,950,6887,938,94,115,17306,778,16637,816,669,457,8166,354,7041,632,1125,630,13144,522,10967,808,2177,787,15957,655,13733,776,2224,751,15337,577,13753,615,1584,568,13228,296,12251,513,977,429,8388,545,7776,278,612,511,5315,274,5217,308,98,162
0500000US01121,1121,"Talladega County, Alabama",78267,1455,37803,879,2885,466,2831,484,54,96,6060,522,5958,526,102,112,3247,455,2334,520,913,432,4298,613,2991,846,1307,626,5229,547,3374,765,1855,747,5350,161,4704,439,646,414,5313,160,4820,507,493,492,3512,195,3503,197,9,16,1909,195,1909,195,0,192,40464,903,2293,270,2231,289,62,99,6243,367,6191,371,52,85,4134,414,3357,654,777,546,4319,408,3504,558,815,429,5190,4,4335,480,855,480,5701,137,4809,455,892,450,5801,192,4993,363,808,363,3921,111,3921,111,0,192,2862,273,2862,273,0,192
